"assembly_id","nbills","start_date","end_date","years","bills_per_year"
1,507,1948-05-31,1950-05-30,2.00,253.8477366255
2,1338,1950-05-31,1954-05-30,4.00,334.5
3,1246,1954-05-31,1958-05-30,4.00,311.5
4,648,1958-05-31,1960-07-28,2.16,299.7718631179
5,672,1960-07-29,1961-05-16,0.80,842.8865979381
6,1200,1963-12-17,1967-06-30,3.54,339.2718822618
7,875,1967-07-01,1971-06-30,4.00,218.75
8,247,1971-07-01,1972-10-17,1.30,190.2004219409
9,951,1973-03-12,1979-03-11,6.00,158.5
10,309,1979-03-12,1980-10-27,1.63,189.5546218487
11,774,1981-04-11,1985-04-10,4.00,193.5
12,641,1985-04-11,1988-05-29,3.13,204.5148601399
13,1439,1988-05-30,1992-05-29,4.00,359.75
14,1458,1992-05-30,1996-05-29,4.00,364.5
15,2614,1996-05-30,2000-05-29,4.00,653.5
16,3254,2000-05-30,2004-05-29,4.00,813.5
17,8592,2004-05-30,2008-05-29,4.00,2148
18,14947,2008-05-30,2012-05-29,4.00,3736.75
19,6266,2012-05-30,2013-08-03,1.18,5318.8139534884
