"assembly_id","group","start_date","end_date"
"제헌국회","assembly",1948-05-31,1950-05-30
"2","assembly",1950-05-31,1954-05-30
"3","assembly",1954-05-31,1958-05-30
"4","assembly",1958-05-31,1960-07-28
"5","assembly",1960-07-29,1961-05-16
"국가재건최고회의","assembly",1961-05-19,1963-12-16
"6","assembly",1963-12-17,1967-06-30
"7","assembly",1967-07-01,1971-06-30
"8","assembly",1971-07-01,1972-10-17
"9","assembly",1973-03-12,1979-03-11
"10","assembly",1979-03-12,1980-10-27
"국가보위입법회의","assembly",1980-10-28,1981-04-10
"11","assembly",1981-04-11,1985-04-10
"12","assembly",1985-04-11,1988-05-29
"13","assembly",1988-05-30,1992-05-29
"14","assembly",1992-05-30,1996-05-29
"15","assembly",1996-05-30,2000-05-29
"16","assembly",2000-05-30,2004-05-29
"17","assembly",2004-05-30,2008-05-29
"18","assembly",2008-05-30,2012-05-29
"19","assembly",2012-05-30,2016-05-29
"이승만","presidential",1948-07-24,1952-08-14
"이승만","presidential",1952-08-15,1956-08-14
"이승만","presidential",1956-08-15,1960-04-26
"윤보선","presidential",1960-08-12,1962-03-22
"박정희","presidential",1963-12-17,1967-06-30
"박정희","presidential",1967-07-01,1971-06-30
"박정희","presidential",1971-07-01,1972-12-26
"박정희","presidential",1972-12-27,1978-12-26
"박정희","presidential",1978-12-27,1979-10-26
"최규하","presidential",1979-12-06,1980-08-16
"전두환","presidential",1980-09-01,1981-03-02
"전두환","presidential",1981-03-03,1988-02-24
"노태우","presidential",1988-02-25,1993-02-24
"김영삼","presidential",1993-02-25,1998-02-24
"김대중","presidential",1998-02-25,2003-02-24
"노무현","presidential",2003-02-25,2008-02-24
"이명박","presidential",2008-02-25,2013-02-24
"박근혜","presidential",2013-02-25,2018-02-24
